__filename__,CODEST,MC_AUTO,CODEMC,__id__,CLIP,CODELI,TEXT,CODESII
tekno_complete,1,0,1,13,1,1,The teacher is giving a lot of leading questions and having the student teach her to do the problem.  She explains about the big one.  The student understands about the big one and how to use it in solving the fractions.,0
tekno_complete,1,1,1,14,1,0,"The teacher gave individual attention and the student seemed to understand.   The student wrote down as he discussed the problem which was good. The student came up with the """"giant one"""" he wanted to use. The teacher gently prompted him to guide him.""""",0
tekno_complete,1,0,0,15,1,0,The teachers response in teaching this concept was very good and very simple for the student to understand and accomplish.,0
tekno_complete,1,1,1,16,1,1,"The teacher uses the gimmick """"the giant 1"""" to talk about multiplying a fraction by another fraction that is equivalent to 1.  She refers to the numerator and the denominator of the fraction as the """"top"""" and the """"bottom"""".  The student seems to understand what she is saying but is inconsistent when writing the vinculum (fraction bar).  This makes me wonder if he understands that what fractions are or if he just thinks the point of the activity is to multiply or divide two numbers written over each other by the same number.""""",0
tekno_complete,0,1,1,17,1,0,The teacher and student first divide the giant fraction into the least fraction and then multiply the numerator and denominator  by same number to make it bigger,0
tekno_complete,0,0,0,18,1,1,"They interact very well and the teacher put it into simple terms and guided the student to the right answer""""",0
tekno_complete,0,0,1,19,1,1,I think the teacher did a great job. I would probably also let students know that cross multiplying can be used to determine if fractions are equivalent.,2
tekno_complete,,2,,20,1,,,
tekno_complete,1,1,0,21,1,0,"The teacher was very positive and helpful by letting the student think on his own.  The teacher was a little distracted by the class but all-in-all the focused on the content of the problem""""",0
tekno_complete,1,1,1,22,1,0,"The teacher was able to teach the student using concepts that the student could understand. The teacher used the individual students question to refresh the whole class on a concept already learned. The teacher got down at the students level and watched as the student worked through the problem offering guidance along the way. The student was able to correctly understand the problem because of the one on one attention that the teacher was able to give to the student. The teacher basically explained to the student how to find the common denominators of both 24 and 36 so that the student could then find fractions that were equal to 24/36.""""",0
tekno_complete,0,0,1,23,1,1,"The teacher effectively guides the student's thought process as he completes the problem. By modeling the thought process for finding the equivalent fractions she is showing the student how to  not only complete this problem but other problems in the future. I was also pleased that she immediately got down on the student's level and communicated well with the student. She didn't give the student the answer she guided him to allow him to find the answer.""""",0
tekno_complete,1,1,1,24,1,1,this teacher is very helpful. The student learns that when finding three fractions that are equivalent to 24/36 he can go smaller and then multiply by a giant one.,0
tekno_complete,0,1,1,25,1,1,"Teacher was rather directive - instead of asking the student what to do the teacher suggested an option. It was good that the teacher did not force the student to use a greatest common divisor immediately but permitted the student to use any common divisor to reduce the fraction.""""",0
tekno_complete,1,1,2,26,1,1,The student seems to understand the concept that fractions remain the same when you multiply or divide by a giant one.  The one area that perhaps the teacher could reinforce is that all of the fractions that the student was writing are equal to each other.,2
tekno_complete,1,2,1,27,1,2,Teacher has developed a code word that helps students to remember different ways to write fractions using the giant 1.  The teacher tries to give the student control of the activity because they are picking their own giant one.  By continually coming back to the big one the teacher keeps coming back to the idea of multiplying by one.,0
tekno_complete,0,None,0,28,1,0,The teacher is working one on one with the student and explaining step by step by showing the Student.,0
tekno_complete,0,0,0,29,1,1,I think that the teacher is rushing the student into learning and that he will not fully absorb it without her help.,0
tekno_complete,1,2,0,30,1,0,I thought the instructor helped the student gain an understanding of the content.  I am not certain that the student will be able to take what he was taught and use it appropriately.,0
tekno_complete,1,1,1,31,1,1,"By using the board and other examples they have done the student better understands the denominator that was causing him to misunderstand the problem.  I am not sure about this """"big 1"""" methodology I have not heard of it before.""""",0
tekno_complete,1,0,0,32,1,1,allows student to think through the problems and helps student when he is stuck with a concept,0
tekno_complete,0,0,0,33,1,1,I believe the teacher is helpful she is allowing student to think  the only problem is there is a little distraction in classroom that is distractfull,0
tekno_complete,1,0,0,34,1,0,She explains it very simply so the child can understand. The one on one communication really helps the child to understand how to work the problem and reach the solution.,0
tekno_complete,0,1,1,35,1,0,multiply and divide by giant one,0
tekno_complete,1,1,0,36,1,1,"Teacher gets on the student's level (physically) and then guides the student through the problem with leading questions.  However the teacher becomes distracted by another student and I do not think that the original student has any idea what they actually did in the problem.  The student can follow the teacher's lead but not work independently.""""",0
tekno_complete,,1,,37,1,,,
tekno_complete,1,0,1,38,1,2,"The teacher's stance in this particular video clip is to ensure that the student understands the mechanics/procedural elements behind finding equivalent fractions.  To that end the teacher emphasized two elements: (1) Having the student first check a given fraction to see if it could be reduced by checking numerator and denominator for a common factor(s) and (2) Once the student reached (and recognized) a point where the numerator and denominator no longer had a common factor(s) then the teacher used the concept of multiplying by a """"Giant 1"""" to form another equivalent fractions.  I noted that the teacher does not seem to be working towards ensuring that the student understands the reason(s) why the fractions formed through the process/procedures are equivalent.  The teacher seems to tacitly assume that such understanding is either already present in the student or is under the impression that the algorithmic/procedural process will instill such understanding in the student's mind.""""",1
tekno_complete,1,1,1,39,1,1,"I felt the teacher did a good job of asking questions that led the student without telling him what to do.  It did seem like the teachers questions were a bit leading as to what the student needed to do that the student just had to figure out the correct answer the teacher was looking for.  I do think that the student understood the concept of the """"giant one"""" that the teacher was trying to get them to use and that he was looking more for confirmation that he was on the right track and doing the right thing.""""",0
tekno_complete,0,1,1,40,1,2,I have an Math Intervention class this year and I have used this same method to show them a  simple way to reduce fractions.  I think breaking a fraction down with a number they may recognize goes into both numbers is helpful since I do have a lot of students who are very weak in knowing their times tables.    I liked that the teacher got down next to the student and I believe the student felt more confident with his abilities--breaking the problem down into doable parts.,0
tekno_complete,1,1,1,41,1,1,The student understood the concept of the Giant 1 because he was able to both divide and multiply different equivalent fractions.,0
tekno_complete,0,0,2,42,1,1,"She did a very good job with the """"Big 1!"""" My only concern is that she kept saying he was making it bigger and smaller and he really isn't. It is the same thing just represented with a different number of pieces. I would have used fraction tiles or circles with this.""""",2
tekno_complete,1,2,0,43,1,1,the student asks for help  the teacher explains clearly the steps to solving the problem in a way the student can easily understands yet gives the student a chance to use different ways to solve the problem teaching him to think for himself,0
tekno_complete,1,1,0,44,1,1,I think the environment in her class room was too loud for anyone to concentrate and that could effect the students learning.,1
tekno_complete,0,1,0,45,1,0,The teacher guides the student to figure out the answers with subtle suggestions and encouragement,0
tekno_complete,,0,,46,1,,,
tekno_complete,1,1,0,47,1,1,This is good one to one teaching.  The student is lead through the steps but no given an answer - he has to find it for himself.  He is learning by doing and the teacher is facilitating the process (while ignoring classroom distractions).,0
tekno_complete,1,None,0,48,1,1,"Once the teacher walks with him thru the first example he is then able to do the second one with little assistance from the teacher.  The student seems to grasp the content""""",0
tekno_complete,1,1,0,49,1,1,"The student didn't understand something and the teacher took the time out to help the student better understand. I think this really helps the students.""""",0
tekno_complete,0,1,1,50,1,1,"The teacher is good at asking questions somewhat leading questions but she doesn't give the student the answers and waits for his answers.  The student is quick at basic division and multiplication facts (quite different from my students usually) and also understands English well.  The student seems quite young.  Even though the teacher spends a long time with just one student there is very little commotion in the room.""""",0
tekno_complete,1,0,1,51,1,0,"The educator and student are interacting very well with mathematics.  They definitely have learned some mathematical language that is specific to their class """"giant one.""""  Mathematically the student is on target as to what is being asked of him.""""",0
tekno_complete,1,0,0,52,1,0,Teacher was very patient and let the student figure out that there were several different ways to come to the same conclusion.,0
tekno_complete,0,1,1,53,1,1,"The teacher seems to be having the students come up with three equivalent fractions for each fraction given. First she had the student she was working with reduce the current fraction. Then she had him create a """"giant 1"""" (a fraction equivalent to 1 to multiply by) I found the teacher to be helpful to the student but perhaps guided him a bit too much.""""",0
tekno_complete,1,1,0,54,1,1,"I thought the teacher was very patient and definitely was on the same level as the child. She gave him very good pointers and the child really seemed like he understood it. The problem with fractions is always trying to find the simplest way to explain them which she did here. She broke it down so he understood it and also made sure he TRULY got it before leaving him to work on his own.""""",0
tekno_complete,1,0,2,55,1,1,"It is clear that the class has been going over this Big One concept because the student understands how to make a fraction bigger (i.e. not in simplest form). The teacher leads the student very much in the beginning but by the last few fractions the student seems to realize that in order to get the fraction in simplest form you are dividing by the big one and that if you want to work the other way you must multiply by the big one.""""",0
tekno_complete,1,0,1,56,1,1,"I really like the one-on-one interaction despite the craziness and disruption going on around them. She used good prompts to remind the student about the steps she had taught him and was sure to use the mathematical language to help trigger his memory. I like the way she used """"THE BIG ONE"""" to describe whole numbers. She also made sure that the student could describe the steps to her and then she had him demonstrate the learning...good stuff! I use a very similar method although my students tend to be in the low range so we make sure that we try one of the first four prime numbers when we reduce. This would certainly have gotten the student the 4 fractions he needed to compete the problem.""""",0
tekno_complete,0,0,0,57,1,0,The teacher got down to the students level and did a great job of guiding him along to the right answer.,0
tekno_complete,0,0,1,58,1,1,"She definitely had one set strategy in mind and adhered to it throughout her interaction with the student.  She was encouraging and positive.  I would have liked proper fraction terminology numerator and denominator used in her discussion.  The classroom was too noisy for me.""""",1
tekno_complete,0,1,0,59,1,0,the teacher interacted with students needing further guidance while others seemed to be finished or helping each other.,0
tekno_complete,1,1,1,60,1,0,the big one idea was good but it seemed to confuse more then help.,0
tekno_complete,1,1,0,61,1,0,She is teaching him one on one - therefore helping him understand better.,0
tekno_complete,0,0,1,62,1,1,"I think it's better to teach the students to first to try to see if the fraction can be divided by 2 first if not then 3 then 5 etc.  instead of a bigger divisor the first time (like 4).  Also the teacher should also stress that if one can find a common divisor for both numerator and denominator dividing that common divisor will generate an equivalent fraction just like multiplying by a GIANT 1 would.""""",1
tekno_complete,0,2,1,63,1,1,It's a quality face to face one to one interaction where the teacher builds from 1/3s up to the larger fractions...24/36....The concept of multiplying by giant one helps the students build to an answer that makes sense. The teacher queries the student in making the fraction smaller and puts the work into the student's hands.  Division is the students chosen route and by showing the student how to employ the simpler multiplication method the answer can be more easily derived. Very good method indeed !,0
tekno_complete,0,0,0,64,1,0,She leads in the discussion and connects to what she just taught.,0
tekno_complete,1,0,2,65,1,1,"The teacher responded by asking the student a series of questions on finding equivalent fractions.  There was dialogue.  The student was not waiting on the teacher to give him the answer.  I have never seen the big one.  I really do not understand how it fits in but the students in the clip knew so that was good.  I think that it would be better if the teacher introduce more vocabulary like when the greatest common factor is one then you know that it is in simplest form.""""",2
tekno_complete,0,1,1,66,1,0,The teacher is very positive and praises the student for each correct response.  She keeps referring to the giant one.,0
tekno_complete,0,0,0,67,1,0,The teacher led the student through the problem using questioning strategies.  The teacher also gave the student enough time to think.,0
tekno_complete,1,1,1,68,1,2,"The teacher and the student seem to work together.  The student seems to know his factors and multiples so once he knows the steps he does well.  It's unclear whether he realizes if the fractions are in simplest form; I don't hear him saying that they can no longer be made smaller--the teacher seems to answer that question for him twice.  It seems that the student knows the procedure for multiplying to make equivalent fractions and he seems to have an idea how to put them in simpler terms but needs some guidance from the teacher to confirm that.  She doesn't just tell him what to do and how to do it; she asks him questions to help guide him to be able to succeed on his own.""""",0
tekno_complete,0,1,0,69,1,0,I thought it was very good and clear teaching!,0
tekno_complete,0,0,0,70,1,1,I like how patiently she is working with the student.  I like how she asks him questions for him to figure out the answer instead of telling him how to do it. I don't like the chaos going on around her in her room.,1
tekno_complete,0,1,0,71,1,0,"It seemed to me that the teacher effectively conveyed the underlying process although perhaps greater precision might have been sought.""""",1
tekno_complete,0,0,1,72,1,0,The teacher guides the student through a process of guiding questions designed to encourage the student through the process of finding equivalent fractions.,0
tekno_complete,0,0,0,73,1,1,The teacher over used the word perfect.   The student asked good questions. I don't think he has the idea. The teacher needs to stay at the students level and not swing her marker around.,1
tekno_complete,1,0,1,74,1,0,Teacher talks student through the first problem until students grasps concept.  Then teacher moves the student in the opposite direction to find other equivalent fractions.,0
tekno_complete,0,0,1,75,1,0,The teacher was very supportive while scaffolding the student to be successful and confident in his work.  I liked that she let the students pick their own numbers to find fractions equivalent to 24/36.,0
tekno_complete,,0,,76,1,,,
tekno_complete,1,None,1,77,1,1,"the student seems to know how to come up with equivalent fractions but I do think that the student understands what an equivalent fraction really is.  The teacher lets the student do all of the work which is good.  I don't really like how she has them reduce and then multiply again to make another equivalent fraction.  This is not teaching for understanding.""""",2
tekno_complete,1,1,1,78,1,0,"She asks him to """"discover"""" that knowing that you can make an equivalent fraction by multiplying you can also make an equivalent fraction by dividing.  She makes sure that he understands the concept of a """"giant"""" one being equal to 1 which maintains equality.""""",0
tekno_complete,1,1,2,79,1,2,"While watching the clip I liked the idea of using the """"giant"""" one because it reminds students that what they are doing is just multiplying or dividing by a form of one. In the clip we did not hear the teacher reinforce the idea that multiplying or dividing by a form of one does not change the number but it's """"appearance"""". I always describe this process as changing my hairstyle or clothes I am still the same person but I just look differently on the outside. I like the analogy and the kids find it funny but I am not sure it would bring more retention to the idea of equivalent fractions.""""",2
tekno_complete,0,2,0,80,1,1,The interaction between student and teacher were fine.  She asked scaling questions and acted as a coach,0
tekno_complete,1,2,1,81,1,0,"student is having difficulty with equivalent fractions teacher working one on one explaining more in depth.""""",0
tekno_complete,0,1,0,82,1,0,The teacher got down to be eye level with her student and worked one on one with him. She then asked questions that encourage the child to figure out the problem on his own step by step.,0
tekno_complete,0,0,0,83,1,0,I think this is a good way to get the students to listen and to understand.,0
tekno_complete,0,1,1,84,1,1,The teacher gave a lot of encouragement to the student.  The student had to make the decisions about what to divide or multiply by but the teacher was there to guide him with the next steps.,0
tekno_complete,0,1,1,85,1,1,"The teacher makes a good point about doing reductions of fractions in small steps by taking 24 over 36 for example and allowing the student to reduce it to 6 over 9 first before taking another step to making it 2 over 3.""""",0
tekno_complete,0,0,0,86,1,1,"The teacher assumes a lot of knowledge on the part of the student.  Additionally the teacher does not cause the student to write out the work for how the student does the problem which will be problematic in more complex situations.""""",1
tekno_complete,1,1,0,87,1,1,"The teacher asked good questions to guide the student through the exercise but she didn't allow time for him to respond. Several times she began to answer her own question before the student had time to process. She also cut him off so that she said the answer instead of letting him finish it. I would also suggest that after walking him through the first one she did not need to give as much guidance on the second question. She did not ask why the strategy worked only how to do the problem.""""",1
tekno_complete,0,1,0,88,1,0,Very direct teaching method. I was very impressed with the teacher's intuitiveness.,0
tekno_complete,1,1,1,89,1,1,"Teacher answered student's questions and prompted student with what he needed to do to solve the problem.  There was no discussion of how or why it worked. It was just a rote procedure.  However the student seemed to know to divide by a giant one to make it smaller and multiply to make it bigger.""""",1
tekno_complete,1,0,1,90,1,1,"The teacher uses the giant one as a way to reinforce the concept that any number over itself is one.  She then expands that into equivalent fractions.  The student has a good grasp of factors and multiples for doing mental math.  In addition the teacher provides immediate reinforcement for correct answers.""""",0
tekno_complete,0,1,0,91,1,1,"the teacher asked leading questions to the student.  She gave immediate feedback to his solutions  She prompted when necessary.""""",0
tekno_complete,0,0,0,92,1,0,I think teacher is doing good. No need to add any more content to the conversation.,0
tekno_complete,0,1,1,93,1,0,"She explained well however I didn't like some wordings that she used to describe steps in finding three fractions equivalent to 24/36...""""",1
tekno_complete,1,0,1,94,1,1,"I question how much the student truly understands about equivalent fractions.  Some diagrams or actual objects that demonstrate these equivalent fractions would be helpful.  I also don't like the use of the term """"making the fraction bigger or smaller"""".""""",1
tekno_complete,2,1,2,95,1,2,"I believe the teacher said """"Can I make that smaller"""" or """"Can I make that larger"""" a few times.  The number is not getting smaller or larger the fraction is the same.  This may confuse the student even if the teacher was referring to the numerator only.  Students need to know specifically that they are finding equivalent fractions by multiplying the fraction by their giant 1.  The use of appropriate mathematical terms would have enhanced the lesson.""""",2
tekno_complete,1,0,1,96,1,0,The student seems to understand that he can multiply or divide by a fraction equivalent to one to get equivalent fractions after she talks him through the process.,0
tekno_complete,0,2,0,97,1,0,I thought they had very good interaction,0
tekno_complete,0,0,0,98,1,0,teacher was very good at giving direction,0
tekno_complete,0,0,1,99,1,0,"The teacher first asks the student to find the number that will divide evenly in both 24 and 36. The student then divides by 6 and gets 4/6. The student then decides that he can divide by a big one again and divides by 2/2 and gets 2/3. Then he gets his third answer by multiplying by a big one. This can be any number as long as it's a big one.""""",0
tekno_complete,0,0,0,100,1,0,smart move,0
tekno_complete,2,0,2,101,1,2,"She says how can I make it smaller which isn't actually what is happening when you divide by 1.  You are finding equivalent fractions not smaller fractions. She should not be talking about making the fractions """"bigger"""" or """"smaller"""" because it doesn't help the student understand the concept but rather teaches them to memorize the process.""""",2
tekno_complete,0,0,0,102,1,0,the teacher is leading the student directly toward responses.,0
tekno_complete,1,1,1,103,1,1,"The teacher and student use student friendly terms rather than true mathematical terms when describing the fractions for example:  the giant one.  The interaction with the student regarding this lesson is focused on mathematical procedures not understanding of why this concept is necessary.""""",0
tekno_complete,0,1,0,104,1,0,The basic arithmetic is key to figuring out this problem. Teacher did an average job of explaining concept.,0
tekno_complete,1,1,0,105,1,0,The teacher allows the student to work through the thought process in his head.  She recognizes that there are a million correct answers and guides him as he picks three.,0
tekno_complete,1,1,2,106,1,2,"It looks like the lesson is about making equivalent fractions by multiplying by one. I like how the teacher talks about """"multiplying by a giant one"""".  She is using the concept of multiplying by one. I do not like the vocabulary of """"...how can I make this smaller?""""  I would prefer it if she used the words """"simplify or equivalent"""" instead. At this point she does use vocabulary centered around dividing by one which brings back the mathematical content of how to simplify or make equivalent fractions. Back to the language of making a fraction bigger or smaller...  I LOVE the concept of the giant one and I want to implement that in my classes.  It seems like her student grasps the concept easily.""""",2
tekno_complete,0,1,1,107,1,1,"The student is responding to direct questions from the teacher and refers to a method of finding equivalent fractions by multiplying by a """"big one"""" or dividing the fraction by a common factor.  The teacher is not using mathematical terminology to help the student understand the conceptual reasoning behind the procedure.""""",1
tekno_complete,2,0,2,108,1,1,"The teacher is doing a good job one-on-one with this student but what are the other students doing?   I like her method of using the giant 1.  I think the terms """"smaller"""" and """"bigger"""" might be confusing since the fractions will be equal.""""",2
tekno_complete,0,2,1,109,1,0,"I think that is a good approached she used a good method by telling the student to divide the same number""""",0
tekno_complete,0,1,1,110,1,1,"Share different strategies (multiply or divide to get smaller) mention must do same thing to each part of the fraction breaking the problem down""""",0
tekno_complete,0,1,0,111,1,1,I like the fact that she was very supportive and helped the student find answers on his own.,0
tekno_complete,1,1,1,112,1,1,"I don't think the teacher and student are really interacting around the mathematical content at all. It seems to be a focus on the steps/procedures to finding equivalent fractions. At one point the student is writing 8 over 12. The teacher says """"that is a fraction"""" seemingly as a prompt to write the bar between the two numbers. From just this clip I have no idea if the student even knows what a fraction is or what he is doing to the numbers.""""",0
tekno_complete,2,1,2,113,1,1,"The interaction focuses on a process for finding equivalent fractions but not on the concept of equivalent fractions.  Since I do not know exactly what the lesson (or prior lessons) contained (in terms of concept development) I don't know what this child understands about equivalent fractions.  The teacher's use of vocabulary was poor.  Talking about """"making this bigger"""" or """"making this smaller"""" countermands everything we want students to understand about equivalent fractions.""""",2
tekno_complete,0,1,0,114,1,1,Student is working on a problem pose by teacher.  He has requested help from teacher. Teacher is helping out by guiding him through the step.  Teacher poses questions that apply to the steps that she has taught the students.  At one point she points to the board so that the student can recall what she has taught him.,0
tekno_complete,0,0,2,115,1,2,"The teacher leads a student through one particular strategy for finding equivalent fractions. She uses a series of low level questions to move him through the correct steps to find a solution. Unfortunately  we don't see any discussion of the size of the original fraction  the relationship between numerator and denominator on the original fraction or any connections to those fractions the student generates. The work is procedural in nature.   jcaudle""""",2
tekno_complete,0,1,0,116,1,1,I think that the teacher did a good job staying with the one student and working through an entire problem and then getting him started on the next.  She had probably already shown by drawing that the fractions were different and now they were just coming up with the numbers to make it so.,0
tekno_complete,1,0,1,117,1,1,"The teacher led the student through the procedure of multiplying or dividing by the big 1 to create another equivalent fraction by asking questions such as """"How did I do the other problem?  How do you make it smaller?  How do you make it larger?  What number goes into 24?  How many times does 4 go into 24?""""  Though that process the student was able to see more clearly what the teacher was expecting him to do for the assignment.  The teacher did point out some errors such as not drawing the fraction line between the numerator and denominator.""""",0
tekno_complete,1,1,1,118,1,1,"My only problem with this is the question """"What number goes into 24 and also into 36?""""  She should stick to the proper terminology.  Use the word divide.  Kids thinks that  """"goezinta"""" is a verb!!!  Good interaction with student. Noisy learning environment.  Good prompts from the teacher to guide student through the process.""""",1
tekno_complete,1,0,0,119,1,1,The teacher seems to have good rapport with the student.  She compliments him by telling him 'perfect 'often.  She does seem to rush him a little.  He's a little scared to answer and she jumps on him when he does try to answer.  He seems to get the idea by the end.  He just needed a little guided help.,1
tekno_complete,1,1,1,120,1,1,"I found it very realistic in a typical classroom.  I don't think the teacher gave the student much think time.  I also don't think the student understands equivalent fractions he's just doing steps of a process that his teacher directs. She didn't get at his understanding or lack thereof at all.""""",0
tekno_complete,1,0,0,121,1,1,"She is down to his level which is nice.   And she helps him through it.  Not sure if the kid understands the GIANT ONE.  And she pulls her attention away from him while he is at that step.  He looks lost there until she shares ' any number you want.'  It seems a little loud in the classroom.""""",0
tekno_complete,0,1,1,122,1,0,"The teacher is primarily asking questions while the student is responding to her questions. She refers a little to what must have been the lesson content (multiplying and dividing by 1 in the form of 4/4 etc) but primarily leads the student to the solution through her questions.""""",0
tekno_complete,1,1,1,123,1,1,"I think that this was a great interaction though the student seemed to really know what he was doing.  I would have moved on to another student after I knew he got it the first time.  She may have done this.  I think it was a great way to teach equivalent fractions and I will use the BIG ONE concept in my own class.""""",1
tekno_complete,,1,,124,1,,,
tekno_complete,1,0,1,125,1,1,"The teacher poses questions to the student in order for him to figure out the problem that he trying to do. She lets him answer her questions and by that he is figuring out how to find three fractions equivalent to 24/36.""""",0
tekno_complete,0,0,1,126,1,1,"The teacher and student are using """"the Big ONE"""" to write equivalent fractions.  The teacher is guiding the student.""""",0
tekno_complete,0,1,0,127,1,0,I thought it was a good approach,0
tekno_complete,0,2,0,128,1,0,great interaction between the two. great job by the teacher in encouraging student to come up with a response.,0
tekno_complete,0,0,0,129,1,1,"The teacher does a good job of leading the students thought process. The teacher first ask the student to explain what is the first thing that needs to be done after asking what were the students asked to do both of these responses from the student let the teacher understand where she needed to start her questioning. If the student was completely lost the teacher would have to do more guiding than was shown in this tape.""""",0
tekno_complete,0,0,0,130,1,0,very well,0
tekno_complete,1,1,1,131,1,1,"The teacher led the student to find equivalent fractions by both dividing and using the """"giant one"""".  The student needed some prompting but seemed to grasp the idea.  I would give some practice problems to reinforce the concept and lead the student to mastery.""""",1
tekno_complete,1,0,1,132,1,1,"My impression is that the student is just following the teachers directions with out really having any understanding of why you divide or multiply by the """"giant: one""""",0
tekno_complete,1,None,1,133,1,1,"The student asks for help and the teacher guides the student through each step of solving the problem.  She redirects his attention to her work on the board so that he can see previous examples that they had worked on together.  She pushes him forward pretty quickly giving him little think time and does not spend any time seeing if he really understands why he is using the """"giant one"""".  Her objective is that he master the algorithm for finding equivalent fractions.""""",0
tekno_complete,0,0,1,134,1,1,Teacher is not using mathematical language.  Teacher is also just teaching an algorithm and not addressing the reason why the algorithm works.,1
tekno_complete,1,0,0,135,1,0,"it looks the student didn't understand first but gets it after the explanation of the teacher""""",0
tekno_complete,0,0,1,136,1,0,"The teacher guides the student through the thinking process associated by multiplying by a fraction representation of the whole number 1. When the student expresses the fraction in lowest terms the teacher asks the student if the fraction can be simplified any further. When it cannot be simplified any further reference to multiplying by a giant one is made to remind the student how to generate two additional equivalent fractions to the original fraction. The student successfully generates equivalent fractions after guidance by the teacher multiplying by a giant one.""""",0
tekno_complete,0,0,1,137,1,0,I liked how she used the big 1 as an example and how she showed them that they could reduce down and then find a larger equivalent fraction.,0
tekno_complete,1,0,1,138,1,1,the teacher is  asking  the student  questions  to narrow down his search to  find   equivalent   fractions  i don't  know  if the boy understood the meaning of the giant it was almost  like  the student was guessing and judging how the teacher responded he would  know  if he was  right  or  wrong,0
tekno_complete,0,1,2,139,1,2,"The teacher asked good """"leading"""" questions of the student making sure the student had to find the way to solve the problem rather than the teacher just telling him exactly what to do.  I would like to hear the teacher emphasize to the student that his answer was EQUIVALENT to the original fraction.""""",2
tekno_complete,,1,,140,1,,,
tekno_complete,1,1,1,141,1,1,i liked the  use  if the term big one to denote the multiplication of a  fraction  the student knew his multiplication tables and factors well the teacher  seemed  a bit rushed but  had  the  lesson  down well enough to convey the concepts to the student,0
tekno_complete,1,0,1,142,1,0,"The teacher asks a lot of leading questions to keep the student on the right track. When she left the student to work by himself on making a bigger fraction using the giant 1 he was unable to complete it on his own. After she had finished talking to the female student she needed to guide him again.""""",0
tekno_complete,1,0,1,143,1,0,"The teacher is guiding the student by asking him questions not telling him what he needs to do next.  He seemed to understand the process of finding equivalent fractions""""",0
tekno_complete,1,0,0,144,1,0,The teacher supported his ideas and let him work through his own thinking.,0
tekno_complete,0,0,0,145,1,1,the teacher is helping him out too much. She is giving away too much information. His peers are not involved at all. It is 1-on-1 interaction.,1
tekno_complete,2,1,0,146,1,1,"In a way I think the teacher guided the  student into finding the correct answer but I do not think that the student understood what he was doing.   She had to help him with every step.   I think maybe a visual picture as she was doing it to show it was the same thing would have helped the student more.""""",2
tekno_complete,1,0,1,147,1,1,"The teacher is directing the student to do what she wants.  Her voice often gives away the """"correct"""" answer.  She is focusing on the skill and that is good but she isn't really checking to see if the student understands what he is doing .... what does it mean.  Instead she makes sure the student can do the skill ... divide a fraction by a form of one and multiply a fraction by a form of one.  When the fraction is in reduced form she only says """"you can't make that smaller"""" ... she does not test to see if the student understands why or when it can not be made smaller.  She gives away a lot of the """"meaning"""" answers... such as  """"This fraction can be made smaller or bigger.""""""""",1
